,kcat
1.4.3.21,32.9
1.1.1.284,22.5167
6.3.2.5,2.9
5,135000
2.6.1.19,47.4
2.8.1.2,6666.67
1.1.1.40,376
4.2.1.10,960
2.7.1.145,27
4.2.1.81,7.3
1.16.3.1,0.158333
2.6.1.2,6.47
2.7.1.60,84
3.5.2.3,13.8
2.3.1.30,3300
1.3.3.4,0.0866667
2.5.1.55,4.5
3.2.1.26,88.9
2.5.1.10,6.61667
4.2.1.51,26.45
1.1.1.103,551.667
1.1.1,360000
5.3.1.5,25.3
5.3.1.4,34.1167
6.3.4.3,2100
4.1.2.4,68
4.2.1.17,110
2.2.1.9,0.416667
3.4.16.4,42
2.7.1.33,329
5.1.3.3,19000
2.7.4.3,680
4.2.1.11,190
1.1.1.1,1143.33
6.2.1.1,65.4
1.14.12.17,365
3.5.1.18,470
2.7.1.1,279
3.1.3.11,34
1.1.1.6,53.3333
3.1.1,8300
5.1.3,32.5
2.7.7.27,207
1.1.1.25,428
3.1.1.31,14.3
2.5.1.48,166
2.6.1.1,170
1.5.1.3,32.5
2.1.2,730
4.1.3.30,105
3.1.3.1,81
2.1.1.45,11.8
2.7.1.24,14.2
5.4.2.11,1333
1.2.1.19,7.68333
2.7.7.4,218
2.7.2.1,1221
2.7.1.23,8
2.1.1,14000000
5.1.3.4,37.2
3.1.5.1,4000
1.1.1.28,5000
1.2.1.22,3
4.4.1.21,0.42
1.4.1.13,44
3.1.2.20,1.5
1.1.1.205,0.62
6.3.2.1,3.4
2.7.7.3,26.5
3.6.1,1.19
4.3.1.1,1.10333
1.2.1.26,197
3.1.2,8.08
3.5.99.6,28
4.3.2.1,1963
1.1.1.37,110000
5.1.3.13,19.2
2.7.7.12,62
3.1.2.23,15.8
6.3.3.3,0.116167
2.8.1.1,30
3.2.1.20,361
4.1.2.13,87
2.6.1.85,0.53
3.1.3.91,12
5.1.3.14,4.7
2.1.2.1,0.835
5.4.99.5,76
4.3.2.2,1.7
3.6.4.13,5.66667
1.1.1.22,1.8
4.1.1.36,2.9
6.3.2.2,0.113333
1.8.1.4,700
2.4,469.3
1.5.1.30,60
4.2.1.80,450
1.17.1.4,108
3.1.2.6,394.9
4.1.1.17,77.78
1.3.1.98,62
2.7.1.11,167
2.5.1.47,14000
1.1.1.282,240000
1.1.1.42,138
4.2.3.3,600
3.5.4.10,8.6
4.1.3.3,10.5
2.3.1,0.3
2.7.1.107,0.45
2.7.1.26,0.583
6.3.4.4,3.1
4.1.2.25,1.8
4.4.1.5,1650
1.2.1.3,67.5
1.1.1.267,61.15
1.1.1.79,70.6
5.1.3.2,128
3.1.3.2,198
6.1.1,3550
2.7.7.60,54.1
2.7.1.39,28
6.3.4.2,14.1
3.6.1.1,3550
4.1.1.18,10.6
4.1.1.50,48.3333
4.1.2.40,6.33333
2.2.1.6,0.634
3.6.1.19,640
3.5.4.3,17.4
1.5.1.2,55
2.7.1.59,9.2
5.3.1.1,8300
3.2.1.23,1890
3.4.11.1,988.333
1.1.1.49,1423.33
2.7.7.1,20
5.3.3.2,1.3
6.4.1.2,11.8
5.4.2.12,57
5.1.1.3,76
3.1.3.74,1.52
3.3.2.1,21.6667
2.4.2.8,44
1.1.1.21,2534
3.1.3,135
2.7.7.23,15.4197
3.4.11.23,178.333
4.3.3.7,124
5.1.1,190
4.2.1.40,6.39
5.4.2.10,7.9
2.7.1.55,94
4.1.1.8,88
3.2.1.74,14.14
6.2.1.30,40
2.7.2.3,984
5.1.1.1,63.3333
2.7.2.4,469.3
4.2.1.33,4.5
2.5.1.17,0.160667
1.3.98.1,190
5.3.1.6,3440
2.7.1.71,57
2.1.3.2,156.3
1.2.1.12,112
1.7.1.14,0.2
1.2.1.10,17.2
2.1.3.3,750
3.6.1.15,19.1
4.3.1.18,13.1
4.1.2.17,21.5
4.2.1.1,532
2.6.1.42,264
1.2.1.59,8
4.1.2,435
3.2.1.86,1.9
3.5.2.5,470
1.2.4.1,3.8
1.2.1,0.835
3.2.1.122,1.3
2.7.7.2,0.0036
1.4.1.3,399.6
2.4.2.9,0.0015
2.2.1.1,46.3
2.6.1.62,0.283333
2.7.1.40,95000
4.4.1.1,60
6.3.1.9,8.7
2.5.1,0.0533333
5.3.1.9,11420
3.5.1.78,5.1
4.2.1.113,150
2,240000
1.7.1.13,0.0115
6.3.5.5,10.3
2.7.1.4,14
2.3.1.47,0.5
1.5.1.37,0.09
1.11.1.6,18600000
1.1.1.81,11.8
6.3.1.2,8.08
3.4.13.18,247.8
2.4.1.1,73
4.2.1.2,730
3.1.3.5,750
4.1.1.19,6.9
2.1.1.79,0.226667
