Product Name,Genes,Component coefficients,Gene products
COMPLEX_0,YEL039C // YDL174C,TUPLE // YEL039C-MONOMER // 1 // TUPLE // YDL174C-MONOMER // 1,YEL039C-MONOMER // YDL174C-MONOMER
COMPLEX_1,YDL174C // YJR048W,TUPLE // YDL174C-MONOMER // 1 // TUPLE // YJR048W-MONOMER // 1,YDL174C-MONOMER // YJR048W-MONOMER
COMPLEX_2,YEL039C // YEL071W,TUPLE // YEL039C-MONOMER // 1 // TUPLE // YEL071W-MONOMER // 1,YEL039C-MONOMER // YEL071W-MONOMER
COMPLEX_3,YJR048W // YEL071W,TUPLE // YJR048W-MONOMER // 1 // TUPLE // YEL071W-MONOMER // 1,YJR048W-MONOMER // YEL071W-MONOMER
COMPLEX_4,YEL039C // YDL178W,TUPLE // YEL039C-MONOMER // 1 // TUPLE // YDL178W-MONOMER // 1,YEL039C-MONOMER // YDL178W-MONOMER
COMPLEX_5,YJR048W // YDL178W,TUPLE // YJR048W-MONOMER // 1 // TUPLE // YDL178W-MONOMER // 1,YJR048W-MONOMER // YDL178W-MONOMER
COMPLEX_6,YEL039C // YML054C,TUPLE // YEL039C-MONOMER // 1 // TUPLE // YML054C-MONOMER // 1,YEL039C-MONOMER // YML054C-MONOMER
COMPLEX_7,YJR048W // YML054C,TUPLE // YJR048W-MONOMER // 1 // TUPLE // YML054C-MONOMER // 1,YJR048W-MONOMER // YML054C-MONOMER
COMPLEX_8,YGR032W,TUPLE // YGR032W-MONOMER // 1,YGR032W-MONOMER
COMPLEX_9,YLR342W // YCR034W,TUPLE // YLR342W-MONOMER // 1 // TUPLE // YCR034W-MONOMER // 1,YLR342W-MONOMER // YCR034W-MONOMER
COMPLEX_10,YEL038W // YMR009W,TUPLE // YEL038W-MONOMER // 1 // TUPLE // YMR009W-MONOMER // 1,YEL038W-MONOMER // YMR009W-MONOMER
COMPLEX_11,YDR204W // YOL096C // YGL119W // YOR125C // YML110C // YGR255C // YLR201C,TUPLE // YDR204W-MONOMER // 1 // TUPLE // YOL096C-MONOMER // 1 // TUPLE // YGL119W-MONOMER // 1 // TUPLE // YOR125C-MONOMER // 1 // TUPLE // YML110C-MONOMER // 1 // TUPLE // YGR255C-MONOMER // 1 // TUPLE // YLR201C-MONOMER // 1,YDR204W-MONOMER // YOL096C-MONOMER // YGL119W-MONOMER // YOR125C-MONOMER // YML110C-MONOMER // YGR255C-MONOMER // YLR201C-MONOMER
COMPLEX_12,YGL008C // YCR024C-A // YEL017C-A,TUPLE // YGL008C-MONOMER // 1 // TUPLE // YCR024C-A-MONOMER // 1 // TUPLE // YEL017C-A-MONOMER // 1,YGL008C-MONOMER // YCR024C-A-MONOMER // YEL017C-A-MONOMER
COMPLEX_13,YCR024C-A // YEL017C-A // YPL036W,TUPLE // YCR024C-A-MONOMER // 1 // TUPLE // YEL017C-A-MONOMER // 1 // TUPLE // YPL036W-MONOMER // 1,YCR024C-A-MONOMER // YEL017C-A-MONOMER // YPL036W-MONOMER
COMPLEX_14,YJR109C // YOR303W // YJL130C,TUPLE // YJR109C-MONOMER // 1 // TUPLE // YOR303W-MONOMER // 1 // TUPLE // YJL130C-MONOMER // 1,YJR109C-MONOMER // YOR303W-MONOMER // YJL130C-MONOMER 
COMPLEX_15,YHR007C // YHR042W,TUPLE // YHR007C-MONOMER // 1 // TUPLE // YHR042W-MONOMER // 1,YHR007C-MONOMER // YHR042W-MONOMER
COMPLEX_16,YAL023C // YDL095W,TUPLE // YAL023C-MONOMER // 1 // TUPLE // YDL095W-MONOMER // 1,YAL023C-MONOMER // YDL095W-MONOMER
COMPLEX_17,YDL093W,TUPLE // YDL093W-MONOMER // 1,YDL093W-MONOMER
COMPLEX_18,YJR143C,TUPLE // YJR143C-MONOMER // 1,YJR143C-MONOMER
COMPLEX_19,YOR321W,TUPLE // YOR321W-MONOMER // 1,YOR321W-MONOMER
COMPLEX_20,YEL039C // YKR066C,TUPLE // YEL039C-MONOMER // 1 // TUPLE // YKR066C-MONOMER // 1,YEL039C-MONOMER // YKR066C-MONOMER
COMPLEX_21,YJR048W // YKR066C,TUPLE // YJR048W-MONOMER // 1 // TUPLE // YKR066C-MONOMER // 1,YJR048W-MONOMER // YKR066C-MONOMER
COMPLEX_23,YFR033C // YDR529C // Q0105 // YOR065W // YBL045C // YPR191W // YEL024W // YJL166W // YGR183C // YHR001W-A // YJR048W,TUPLE // YFR033C-MONOMER // 1 // TUPLE // YDR529C-MONOMER // 1 //  TUPLE // YJR048W-MONOMER // 1 // TUPLE // Q0105-MONOMER // 1 // TUPLE // YOR065W-MONOMER // 1 // TUPLE // YBL045C-MONOMER // 1 // TUPLE // YPR191W-MONOMER // 1 // TUPLE // YEL024W-MONOMER // 1 // TUPLE // YJL166W-MONOMER // 1 // TUPLE // YGR183C-MONOMER // 1 // TUPLE // YHR001W-A-MONOMER // 1,YFR033C-MONOMER // YDR529C-MONOMER // Q0105-MONOMER // YJR048W-MONOMER // YOR065W-MONOMER // YBL045C-MONOMER // YPR191W-MONOMER // YEL024W-MONOMER // YJL166W-MONOMER // YGR183C-MONOMER // YHR001W-A-MONOMER
COMPLEX_24,YPL091W // YDR098C,TUPLE // YPL091W-MONOMER // 1 // TUPLE // YDR098C-MONOMER // 1,YPL091W-MONOMER // YDR098C-MONOMER
COMPLEX_25,YPL091W // YER174C,TUPLE // YPL091W-MONOMER // 1 // TUPLE // YER174C-MONOMER // 1,YPL091W-MONOMER // YER174C-MONOMER
COMPLEX_26,YFR015C // YJL137C,TUPLE // YFR015C-MONOMER // 1 // TUPLE // YJL137C-MONOMER // 1,YFR015C-MONOMER // YJL137C-MONOMER
COMPLEX_27,YFR015C // YKR058W,TUPLE // YFR015C-MONOMER // 1 // TUPLE // YKR058W-MONOMER // 1,YFR015C-MONOMER // YKR058W-MONOMER
COMPLEX_28,YJL137C // YLR258W,TUPLE // YJL137C-MONOMER // 1 // TUPLE // YLR258W-MONOMER // 1,YJL137C-MONOMER // YLR258W-MONOMER
COMPLEX_29,YKR058W // YLR258W,TUPLE // YKR058W-MONOMER // 1 // TUPLE // YLR258W-MONOMER // 1,YKR058W-MONOMER // YLR258W-MONOMER
COMPLEX_30,YGR209C // YDR453C,TUPLE // YGR209C-MONOMER // 1 // TUPLE // YDR453C-MONOMER // 1,YGR209C-MONOMER // YDR453C-MONOMER
COMPLEX_31,YDR453C // YLR043C,TUPLE // YDR453C-MONOMER // 1 // TUPLE // YLR043C-MONOMER // 1,YDR453C-MONOMER // YLR043C-MONOMER
COMPLEX_32,YCR083W // YBL064C,TUPLE // YCR083W-MONOMER // 1 // TUPLE // YBL064C-MONOMER // 1,YCR083W-MONOMER // YBL064C-MONOMER
COMPLEX_33,YGR209C // YLR109W,TUPLE // YGR209C-MONOMER // 1 // TUPLE // YLR109W-MONOMER // 1,YGR209C-MONOMER // YLR109W-MONOMER
COMPLEX_34,YLR043C // YLR109W,TUPLE // YLR043C-MONOMER // 1 // TUPLE // YLR109W-MONOMER // 1,YLR043C-MONOMER // YLR109W-MONOMER
COMPLEX_35,YBR115C // YGL154C,TUPLE // YBR115C-MONOMER // 1 // TUPLE // YGL154C-MONOMER // 1,YBR115C-MONOMER // YGL154C-MONOMER
COMPLEX_36,YGR209C // YPR167C,TUPLE // YGR209C-MONOMER // 1 // TUPLE // YPR167C-MONOMER // 1,YGR209C-MONOMER // YPR167C-MONOMER
COMPLEX_37,YLR043C // YPR167C,TUPLE // YLR043C-MONOMER // 1 // TUPLE // YPR167C-MONOMER // 1,YLR043C-MONOMER // YPR167C-MONOMER
COMPLEX_38,YKL088W,TUPLE // YKL088W-MONOMER // 1,YKL088W-MONOMER
COMPLEX_39,YBL068W // YOL061W,TUPLE // YBL068W-MONOMER // 1 // TUPLE // YOL061W-MONOMER // 1,YBL068W-MONOMER // YOL061W-MONOMER
COMPLEX_40,YOL061W // YER099C,TUPLE // YOL061W-MONOMER // 1 // TUPLE // YER099C-MONOMER // 1,YOL061W-MONOMER // YER099C-MONOMER
COMPLEX_41,YKL181W // YHL011C,TUPLE // YKL181W-MONOMER // 1 // TUPLE // YHL011C-MONOMER // 1,YKL181W-MONOMER // YHL011C-MONOMER
COMPLEX_42,YLR017W // YDR400W // YLR209C,TUPLE // YLR017W-MONOMER // 1 // TUPLE // YDR400W-MONOMER // 1 // TUPLE // YLR209C-MONOMER // 1,YLR017W-MONOMER // YDR400W-MONOMER // YLR209C-MONOMER
COMPLEX_43,YGR209C // YIL010W,TUPLE // YGR209C-MONOMER // 1 // TUPLE // YIL010W-MONOMER // 1,YGR209C-MONOMER // YIL010W-MONOMER
COMPLEX_44,YLR043C // YIL010W,TUPLE // YLR043C-MONOMER // 1 // TUPLE // YIL010W-MONOMER // 1,YLR043C-MONOMER // YIL010W-MONOMER
COMPLEX_45,YGR209C // YDR353W,TUPLE // YGR209C-MONOMER // 1 // TUPLE // YDR353W-MONOMER // 1,YGR209C-MONOMER // YDR353W-MONOMER
COMPLEX_46,YLR043C // YDR353W,TUPLE // YLR043C-MONOMER // 1 // TUPLE // YDR353W-MONOMER // 1,YLR043C-MONOMER // YDR353W-MONOMER
COMPLEX_47,YDR353W,TUPLE // YDR353W-MONOMER // 1,YDR353W-MONOMER
COMPLEX_48,YCR083W // YHR106W,TUPLE // YCR083W-MONOMER // 1 // TUPLE // YHR106W-MONOMER // 1,YCR083W-MONOMER // YHR106W-MONOMER
COMPLEX_49,YPL091W // YCR083W,TUPLE // YPL091W-MONOMER // 1 // TUPLE // YCR083W-MONOMER // 1,YPL091W-MONOMER // YCR083W-MONOMER
COMPLEX_50,YNL325C // YLR386W,TUPLE // YNL325C-MONOMER // 1 // TUPLE // YLR386W-MONOMER // 1,YNL325C-MONOMER // YLR386W-MONOMER
COMPLEX_51,YBR127C // YDL185W // YOR332W // YHR026W // YEL027W // YKL080W // YLR447C // YEL051W // YPL234C // YMR054W // YGR020C // YPR036W // YHR039C-A,TUPLE // YBR127C-MONOMER // 1 // TUPLE // YDL185W-MONOMER // 1 // TUPLE // YOR332W-MONOMER // 1 // TUPLE // YHR026W-MONOMER // 1 // TUPLE // YEL027W-MONOMER // 1 // TUPLE // YKL080W-MONOMER // 1 // TUPLE // YLR447C-MONOMER // 1 // TUPLE // YEL051W-MONOMER // 1 // TUPLE // YPL234C-MONOMER // 1 // TUPLE // YMR054W-MONOMER // 1 // TUPLE // YGR020C-MONOMER // 1 // TUPLE // YPR036W-MONOMER // 1 // TUPLE // YHR039C-A-MONOMER // 1,YBR127C-MONOMER // YDL185W-MONOMER // YOR332W-MONOMER // YHR026W-MONOMER // YEL027W-MONOMER // YKL080W-MONOMER // YLR447C-MONOMER // YEL051W-MONOMER // YPL234C-MONOMER // YMR054W-MONOMER // YGR020C-MONOMER // YPR036W-MONOMER // YHR039C-A-MONOMER
COMPLEX_52,YBR127C // YDL185W // YOR332W // YHR026W // YEL027W // YKL080W // YLR447C // YEL051W // YPL234C // YGR020C // YPR036W // YHR039C-A // YOR270C,TUPLE // YBR127C-MONOMER // 1 // TUPLE // YDL185W-MONOMER // 1 // TUPLE // YOR332W-MONOMER // 1 // TUPLE // YHR026W-MONOMER // 1 // TUPLE // YEL027W-MONOMER // 1 // TUPLE // YKL080W-MONOMER // 1 // TUPLE // YLR447C-MONOMER // 1 // TUPLE // YEL051W-MONOMER // 1 // TUPLE // YPL234C-MONOMER // 1 // TUPLE // YGR020C-MONOMER // 1 // TUPLE // YPR036W-MONOMER // 1 // TUPLE // YHR039C-A-MONOMER // 1 // TUPLE // YOR270C-MONOMER // 1,YBR127C-MONOMER // YDL185W-MONOMER // YOR332W-MONOMER // YHR026W-MONOMER // YEL027W-MONOMER // YKL080W-MONOMER // YLR447C-MONOMER // YEL051W-MONOMER // YPL234C-MONOMER // YGR020C-MONOMER // YPR036W-MONOMER // YHR039C-A-MONOMER // YOR270C-MONOMER
COMPLEX_53,YBL099W // YJR121W // YBR039W // YDL004W // YPL271W // Q0085 // Q0080 // Q0130 // YPL078C // YDR298C // YKL016C // YDR377W // YPR020W // YML081C-A // YLR295C,TUPLE // YBL099W-MONOMER // 3 // TUPLE // YJR121W-MONOMER // 3 // TUPLE // YBR039W-MONOMER // 1 // TUPLE // YDL004W-MONOMER // 1 // TUPLE // YPL271W-MONOMER // 1 // TUPLE // Q0085-MONOMER // 1 // TUPLE // Q0080-MONOMER // 1 // TUPLE // Q0130-MONOMER // 10 // TUPLE // YPL078C-MONOMER // 1 // TUPLE // YDR298C-MONOMER // 1 // TUPLE // YKL016C-MONOMER // 1 // TUPLE // YDR377W-MONOMER // 1 // TUPLE // YPR020W-MONOMER // 1 // TUPLE // YML081C-A-MONOMER // 1 // TUPLE // YLR295C-MONOMER // 1,YBL099W-MONOMER // YJR121W-MONOMER // YBR039W-MONOMER // YDL004W-MONOMER // YPL271W-MONOMER // Q0085-MONOMER // Q0080-MONOMER // Q0130-MONOMER // YPL078C-MONOMER // YDR298C-MONOMER // YKL016C-MONOMER // YDR377W-MONOMER // YPR020W-MONOMER // YML081C-A-MONOMER // YLR295C-MONOMER
COMPLEX_54,YBL099W // YJR121W // YBR039W // YDL004W // YPL271W // Q0085 // Q0080 // Q0130 // YPL078C // YDR298C // YKL016C // YDR377W // YDR322C-A // YML081C-A // YLR295C,TUPLE // YBL099W-MONOMER // 3 // TUPLE // YJR121W-MONOMER // 3 // TUPLE // YBR039W-MONOMER // 1 // TUPLE // YDL004W-MONOMER // 1 // TUPLE // YPL271W-MONOMER // 1 // TUPLE // Q0085-MONOMER // 1 // TUPLE // Q0080-MONOMER // 1 // TUPLE // Q0130-MONOMER // 10 // TUPLE // YPL078C-MONOMER // 1 // TUPLE // YDR298C-MONOMER // 1 // TUPLE // YKL016C-MONOMER // 1 // TUPLE // YDR377W-MONOMER // 1 // TUPLE // YDR322C-A-MONOMER // 1 // TUPLE // YML081C-A-MONOMER // 1 // TUPLE // YLR295C-MONOMER // 1,YBL099W-MONOMER // YJR121W-MONOMER // YBR039W-MONOMER // YDL004W-MONOMER // YPL271W-MONOMER // Q0085-MONOMER // Q0080-MONOMER // Q0130-MONOMER // YPL078C-MONOMER // YDR298C-MONOMER // YKL016C-MONOMER // YDR377W-MONOMER // YPR020W-MONOMER // YML081C-A-MONOMER // YLR295C-MONOMER
